municipio,ano,target,cdd_6,cdd_9,prcptot_2,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,tnn_8,txx_11,txx_12,wd30_12,wd30_3,wd30_9,tmin2_8,wd30_11,txx_10,txx_9,txx_3,cdd_7,frost_8,wd30_2,prcptot_10,cdd_5,wd30_10,tmin2_6,prcptot_12,cdd_8,tmin2_7
Aiuruoca,2012,1.0,18.0,12.0,95.25,79.19,255.14083333333332,8.58,3.09,4.42,3.34,30.03,30.95,4.0,3.0,9.0,0.0,1.0,33.58,32.53,31.67,16.0,0.0,10.0,200.0,8.0,5.0,0.0,98.94,15.0,0.0
Aiuruoca,2013,1.0,11.0,19.0,114.88,181.56,172.1825,7.78,8.74,4.55,7.57,31.38,32.1,15.0,6.0,8.0,0.0,4.0,34.93,33.46,30.63,23.0,0.0,12.0,67.44,13.0,15.0,0.0,100.81,16.0,0.0
Aiuruoca,2014,1.0,12.0,7.0,115.19,107.56,137.595,6.6,9.63,4.95,6.21,32.1,32.04,9.0,3.0,3.0,0.0,6.0,32.28,31.7,31.29,17.0,0.0,22.0,131.0,14.0,6.0,0.0,89.25,16.0,0.0
Aiuruoca,2015,1.09375,18.0,6.0,148.5,87.44,168.48333333333332,9.71,7.13,6.31,3.53,31.43,32.84,9.0,0.0,3.0,0.0,6.0,34.88,31.19,29.93,7.0,0.0,8.0,44.31,8.0,9.0,0.0,84.56,12.0,0.0
Aiuruoca,2016,1.1875,15.0,13.0,249.19,170.44,129.3216666666667,8.42,6.0,8.93,8.44,32.03,31.77,9.0,4.0,12.0,0.0,9.0,34.79,34.34,30.77,6.0,0.0,13.0,90.56,6.0,14.0,0.0,167.75,26.0,0.0
Aiuruoca,2017,1.5,23.0,13.0,87.31,139.94,155.69750000000002,10.26,3.26,4.87,5.92,31.15,32.8,12.0,5.0,5.0,0.0,6.0,34.53,32.79,31.16,15.0,0.0,14.0,106.5,7.0,7.0,0.0,194.38,8.0,0.0
Aiuruoca,2018,1.769230769230769,10.0,28.0,179.75,107.81,139.60083333333333,3.83,5.63,5.85,5.49,31.63,31.72,9.0,8.0,5.0,0.0,2.0,33.81,32.21,31.57,31.0,0.0,4.0,133.19,12.0,11.0,0.0,149.06,13.0,0.0
Aiuruoca,2019,1.538461538461539,17.0,10.0,130.56,105.62,109.61,7.3,8.36,4.51,6.65,30.98,33.49,16.0,5.0,6.0,0.0,2.0,32.14,31.93,32.15,31.0,0.0,12.0,241.0,19.0,4.0,0.0,36.25,12.0,0.0
Aiuruoca,2020,1.8,22.0,17.0,144.81,49.31,110.44833333333334,3.46,6.59,3.64,5.87,33.34,31.52,6.0,3.0,10.0,0.0,3.0,32.87,34.0,30.22,15.0,0.0,6.0,24.25,11.0,11.0,0.0,221.81,30.0,0.0
Aiuruoca,2021,1.2,19.0,18.0,31.44,99.44,114.73333333333332,6.75,5.63,6.7,3.62,30.92,31.17,7.0,5.0,18.0,0.0,4.0,34.86,34.35,31.18,30.0,0.0,5.0,129.94,30.0,11.0,0.0,106.94,12.0,0.0
Aiuruoca,2022,1.5,20.0,14.0,99.81,210.0,218.93666666666664,4.49,6.47,1.8,4.74,31.24,29.45,0.0,14.0,8.0,0.0,2.0,30.19,34.61,31.41,16.0,0.0,0.0,251.38,16.0,1.0,0.0,36.12,26.0,2.0
Albertina,2012,1.2,18.0,12.0,110.31,80.69,255.14083333333332,6.58,1.95,3.48,1.22,29.39,30.17,1.0,2.0,8.0,1.0,0.0,33.06,33.24,30.7,16.0,0.0,5.0,220.25,9.0,5.0,1.0,109.62,15.0,0.0
Albertina,2013,1.2,11.0,19.0,162.88,201.44,172.1825,7.58,8.14,3.83,6.94,32.62,31.81,7.0,1.0,5.0,0.0,4.0,33.86,31.76,30.25,23.0,0.0,2.0,95.44,8.0,12.0,0.0,160.25,16.0,0.0
Albertina,2014,1.08,12.0,7.0,202.62,135.25,137.595,8.99,9.33,2.92,3.7,31.69,32.01,3.0,3.0,3.0,0.0,3.0,31.37,30.65,30.52,18.0,0.0,16.0,171.56,14.0,2.0,0.0,100.88,31.0,0.0
Albertina,2015,1.08,13.0,11.0,139.88,44.06,168.48333333333332,9.64,7.13,5.4,8.83,31.16,32.23,5.0,0.0,9.0,0.0,4.0,35.76,31.46,29.4,7.0,0.0,5.0,68.0,9.0,13.0,0.0,101.31,12.0,0.0
Albertina,2016,1.2,15.0,14.0,229.19,87.75,129.3216666666667,6.23,7.35,9.66,9.93,32.95,30.16,1.0,0.0,12.0,0.0,3.0,35.06,33.31,29.13,6.0,0.0,6.0,90.44,6.0,16.0,0.0,196.44,26.0,0.0
Albertina,2017,1.825714285714286,23.0,11.0,94.31,177.62,155.69750000000002,10.67,2.67,2.12,5.11,31.26,36.42,9.0,4.0,7.0,0.0,5.0,33.93,32.52,31.16,15.0,0.0,11.0,60.19,9.0,6.0,0.0,169.56,8.0,0.0
Albertina,2018,1.56,10.0,16.0,172.56,139.94,139.60083333333333,4.01,5.26,5.26,8.18,30.33,31.69,12.0,13.0,12.0,0.0,3.0,33.95,32.17,31.98,31.0,0.0,3.0,146.62,12.0,11.0,0.0,189.38,13.0,0.0
Albertina,2019,1.56,17.0,10.0,129.06,112.75,109.61,7.14,9.79,4.07,4.7,30.71,32.87,15.0,1.0,6.0,0.0,4.0,31.86,32.95,30.86,31.0,0.0,5.0,351.5,8.0,4.0,0.0,44.38,12.0,0.0
Albertina,2020,1.68,22.0,17.0,194.94,46.44,110.44833333333334,2.31,5.71,1.71,7.35,32.26,32.35,10.0,7.0,13.0,0.0,5.0,34.16,33.78,31.7,15.0,0.0,4.0,30.19,11.0,15.0,0.0,223.81,23.0,1.0
Albertina,2021,1.56,19.0,18.0,51.81,118.31,114.73333333333332,5.51,5.58,3.56,4.7,34.46,31.99,8.0,14.0,21.0,0.0,11.0,36.52,35.58,31.91,30.0,0.0,9.0,146.25,21.0,12.0,0.0,99.44,12.0,0.0
Albertina,2022,1.44,20.0,9.0,110.5,141.62,218.93666666666664,1.76,1.49,-0.74,5.76,32.12,30.9,5.0,13.0,20.0,0.0,10.0,32.44,35.86,31.45,15.0,0.0,11.0,244.06,14.0,4.0,1.0,30.44,27.0,3.0
Baependi,2012,1.199737187910644,18.0,12.0,95.25,79.19,255.14083333333332,8.88,2.49,2.72,2.24,30.33,31.66,5.0,11.0,12.0,0.0,3.0,34.21,33.84,32.96,16.0,0.0,14.0,200.0,8.0,8.0,0.0,98.94,15.0,0.0
Baependi,2013,1.319714656290532,11.0,19.0,114.88,181.56,172.1825,7.94,8.51,4.89,7.76,32.45,32.73,20.0,7.0,12.0,0.0,6.0,35.49,33.56,31.54,23.0,0.0,16.0,67.44,13.0,19.0,0.0,100.81,16.0,0.0
Baependi,2014,1.079741379310345,12.0,7.0,115.19,107.56,137.595,6.41,9.78,4.01,6.11,32.81,32.1,10.0,11.0,7.0,0.0,7.0,31.71,32.6,31.33,17.0,0.0,22.0,131.0,14.0,8.0,0.0,89.25,16.0,0.0
Baependi,2015,0.84,18.0,6.0,148.5,87.44,168.48333333333332,9.7,6.56,6.04,2.72,32.3,32.96,11.0,3.0,8.0,0.0,7.0,35.63,31.56,30.24,7.0,0.0,11.0,44.31,8.0,15.0,0.0,84.56,12.0,0.0
Baependi,2016,1.8,15.0,13.0,249.19,170.44,129.3216666666667,7.51,6.17,9.5,9.05,33.08,32.39,14.0,8.0,14.0,0.0,11.0,35.67,35.21,30.97,6.0,0.0,16.0,90.56,6.0,23.0,0.0,167.75,26.0,0.0
Baependi,2017,1.559562841530055,23.0,13.0,87.31,139.94,155.69750000000002,10.84,2.96,3.45,6.15,31.87,33.38,16.0,13.0,13.0,0.0,10.0,35.14,33.61,31.96,15.0,0.0,20.0,106.5,7.0,11.0,0.0,194.38,8.0,0.0
Baependi,2018,1.56,10.0,28.0,179.75,107.81,139.60083333333333,3.86,5.66,5.97,6.41,31.67,32.11,15.0,19.0,15.0,0.0,4.0,34.31,33.16,32.15,31.0,0.0,6.0,133.19,12.0,14.0,0.0,149.06,13.0,0.0
Baependi,2019,1.439956331877729,17.0,10.0,130.56,105.62,109.61,7.38,8.93,5.03,6.89,31.58,33.57,18.0,8.0,9.0,0.0,10.0,32.85,33.09,32.83,31.0,0.0,13.0,241.0,19.0,5.0,0.0,36.25,12.0,0.0
